Date,close,high,low,open,volume,year,month,day,day_of_week
1986-03-13,0.0595976114273071,0.0622586671597829,0.0542767239843251,0.0542767239843251,1031788800,1986,3,13,3
1986-03-14,0.0617259666323661,0.0627907561358781,0.0595976116473163,0.0595976116473163,308160000,1986,3,14,4
1986-03-17,0.0627907365560531,0.0633228251363962,0.0617259473845708,0.0617259473845708,133171200,1986,3,17,0
1986-03-18,0.0611938871443271,0.0633228544624624,0.0606617983175632,0.0627907656356985,67766400,1986,3,18,1
1986-03-19,0.060129702091217,0.0617259683750716,0.0595976133299321,0.0611938796137868,47894400,1986,3,19,2
1986-03-20,0.0585333965718746,0.0601296617857376,0.0580013081672536,0.0601296617857376,58435200,1986,3,20,3
1986-03-21,0.0569371618330478,0.0595976052801281,0.0558729844542157,0.058533427901296,59990400,1986,3,21,4
1986-03-24,0.055340901017189,0.0569371672369383,0.0548088122772725,0.0569371672369383,65289600,1986,3,24,0
1986-03-25,0.0564050860702991,0.0564050860702991,0.0548088196362257,0.0553409084475835,32083200,1986,3,25,1
1986-03-26,0.0580013319849967,0.0585334206081153,0.0558729774925225,0.056405066115641,22752000,1986,3,26,2
1986-03-27,0.0590655095875263,0.0590655095875263,0.0580013323348698,0.0580013323348698,16848000,1986,3,27,3
1986-03-31,0.0585333965718746,0.0590654849764956,0.0574692197626326,0.0590654849764956,12873600,1986,3,31,0
1986-04-01,0.0580013319849967,0.0585334206081153,0.0580013319849967,0.0585334206081153,11088000,1986,4,1,1
1986-04-02,0.0585333965718746,0.0595975733811166,0.0580013081672536,0.0580013081672536,27014400,1986,4,2,2
1986-04-03,0.0590655095875263,0.0606617754665109,0.0590655095875263,0.0590655095875263,23040000,1986,4,3,3
1986-04-04,0.0590655095875263,0.0595975982138545,0.0590655095875263,0.0590655095875263,26582400,1986,4,4,4
1986-04-07,0.0580013319849967,0.0595975978543525,0.0569371547387596,0.0590655092312339,16560000,1986,4,7,0
1986-04-08,0.0585333965718746,0.0595975733811166,0.0580013081672536,0.0580013081672536,10252800,1986,4,8,1
1986-04-09,0.0595976114273071,0.0601297001716053,0.0585334339387107,0.0585334339387107,12153600,1986,4,9,2
1986-04-10,0.060129702091217,0.0606617908525019,0.0585334358073624,0.0595976133299321,13881600,1986,4,10,3
1986-04-11,0.0611938871443271,0.0622586768089346,0.0606617983175632,0.0606617983175632,17222400,1986,4,11,4
1986-04-14,0.0617259666323661,0.0622586673896156,0.0611938778861037,0.0611938778861037,12153600,1986,4,14,0
1986-04-15,0.0617259666323661,0.0617259666323661,0.0595976116473163,0.0617259666323661,9302400,1986,4,15,1
1986-04-16,0.0638549327850341,0.064387021524269,0.061193877077881,0.0617259658171158,31910400,1986,4,16,2
1986-04-17,0.0643870159983635,0.0643870159983635,0.0638549273047942,0.0638549273047942,22003200,1986,4,17,3
1986-04-18,0.0622586607933044,0.0643870155528548,0.0617259600924946,0.0643870155528548,21628800,1986,4,18,4
1986-04-21,0.0622586607933044,0.062790749483192,0.0606617827127194,0.0622586607933044,22924800,1986,4,21,0
1986-04-22,0.0611938871443271,0.0622586768089346,0.0611938871443271,0.0622586768089346,15552000,1986,4,22,1
1986-04-23,0.0614599287509918,0.0617259754457328,0.0606617978012623,0.0611938866234976,15609600,1986,4,23,2
1986-04-24,0.0675795525312423,0.0686437299872184,0.0611938757844199,0.0614599178647909,62352000,1986,4,24,3
1986-04-25,0.0718368664383888,0.0747633564029864,0.0681116337426132,0.0681116337426132,85795200,1986,4,25,4
1986-04-28,0.0723689571022987,0.0729010457862323,0.0713041677235161,0.071836868418365,28886400,1986,4,28,0
1986-04-29,0.0702399909496307,0.0723689577142842,0.0697079022611975,0.0723689577142842,30326400,1986,4,29,1
1986-04-30,0.068643718957901,0.0707720735278801,0.0670474530304166,0.0702399848853853,30902400,1986,4,30,2
1986-05-01,0.0675795525312423,0.0686437299872184,0.0665153750752663,0.0686437299872184,54345600,1986,5,1,3
1986-05-02,0.0675795525312423,0.0686437299872184,0.0670474638032543,0.0675795525312423,20246400,1986,5,2,4
1986-05-05,0.0670474469661712,0.0675795355605402,0.0670474469661712,0.0675795355605402,3254400,1986,5,5,0
1986-05-06,0.0675795525312423,0.0686437299872184,0.0675795525312423,0.0675795525312423,9734400,1986,5,6,1
1986-05-07,0.0675795525312423,0.0681116412592304,0.0665153750752663,0.0675795525312423,5155200,1986,5,7,2
1986-05-08,0.0681116133928299,0.0681116133928299,0.0670474363722389,0.0675795248825344,3542400,1986,5,8,3
1986-05-09,0.0675795525312423,0.0681116412592304,0.0675795525312423,0.0681116412592304,6076800,1986,5,9,4
1986-05-12,0.0681116133928299,0.0697078789237163,0.0675795248825344,0.0675795248825344,10483200,1986,5,12,0
1986-05-13,0.068643718957901,0.0691758076003958,0.0681116303154062,0.0681116303154062,3830400,1986,5,13,1
1986-05-14,0.0681116133928299,0.0686437019031253,0.0681116133928299,0.0686437019031253,9302400,1986,5,14,2
1986-05-15,0.0681116133928299,0.0691757904134208,0.0681116133928299,0.0681116133928299,3801600,1986,5,15,3
1986-05-16,0.068643718957901,0.0702399848853853,0.0681116303154062,0.0681116303154062,11952000,1986,5,16,4
1986-05-19,0.0675795525312423,0.0686437299872184,0.0670474638032543,0.0686437299872184,11001600,1986,5,19,0
1986-05-20,0.0670474469661712,0.0675795355605402,0.0665153583718023,0.0675795355605402,61977600,1986,5,20,1
1986-05-21,0.0659832954406738,0.0675795618446251,0.0659832954406738,0.067047473043308,8092800,1986,5,21,2
1986-05-22,0.0659832954406738,0.0665153842419909,0.0659832954406738,0.0659832954406738,4406400,1986,5,22,3
1986-05-23,0.0659832954406738,0.067047473043308,0.0659832954406738,0.0659832954406738,4089600,1986,5,23,4
1986-05-27,0.0681116133928299,0.0681116133928299,0.065983259351648,0.065983259351648,13881600,1986,5,27,1
1986-05-28,0.0702399909496307,0.0702399909496307,0.0681116361958978,0.0681116361958978,15523200,1986,5,28,2
1986-05-29,0.0718368664383888,0.0729010437769251,0.0697078997504177,0.0702399884196858,45676800,1986,5,29,3
1986-05-30,0.0744972974061966,0.0755614745679083,0.0723689430827731,0.0723689430827731,27072000,1986,5,30,4
1986-06-02,0.0723689571022987,0.0744973118380333,0.0723689571022987,0.0744973118380333,19728000,1986,6,2,0
1986-06-03,0.0723689571022987,0.0723689571022987,0.0713041677235161,0.0723689571022987,5011200,1986,6,3,1
1986-06-04,0.0718368664383888,0.0729010437769251,0.0713041657582222,0.0723689551076569,4723200,1986,6,4,2
1986-06-05,0.0729010701179504,0.0729010701179504,0.0713041915222543,0.0718368923948994,13708800,1986,6,5,3
1986-06-06,0.0729010701179504,0.0729010701179504,0.0718368923948994,0.0729010701179504,3427200,1986,6,6,4
1986-06-09,0.0697079226374626,0.0729010677123681,0.0697079226374626,0.0729010677123681,12672000,1986,6,9,0
1986-06-10,0.0697079226374626,0.0697079226374626,0.0686437449495272,0.0697079226374626,3427200,1986,6,10,1
1986-06-11,0.0697079226374626,0.0697079226374626,0.0686437449495272,0.0697079226374626,2304000,1986,6,11,2
1986-06-12,0.0670474469661712,0.0697078899380159,0.0665153583718023,0.0697078899380159,13708800,1986,6,12,3
1986-06-13,0.0670474469661712,0.0675795355605402,0.0665153583718023,0.0670474469661712,7891200,1986,6,13,4
1986-06-16,0.0665153861045837,0.0675795637370175,0.0659832972883668,0.0670474749208006,9590400,1986,6,16,0
1986-06-17,0.0675795525312423,0.0686437299872184,0.0670474638032543,0.0670474638032543,13075200,1986,6,17,1
1986-06-18,0.0670474469661712,0.0675795355605402,0.0659832697774334,0.0675795355605402,4348800,1986,6,18,2
1986-06-19,0.0665153861045837,0.0675795637370175,0.0659832972883668,0.0670474749208006,8467200,1986,6,19,3
1986-06-20,0.0667814388871193,0.0670474810358687,0.0665153921711226,0.0665153921711226,3801600,1986,6,20,4
1986-06-23,0.0675795525312423,0.0675795525312423,0.0654511976192902,0.0667814217228833,46195200,1986,6,23,0
1986-06-24,0.0670474469661712,0.0681116241549091,0.0665153583718023,0.0675795355605402,14572800,1986,6,24,1
